TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
94962,55,-0.018222074723912976,-0.303770447100151,-0.11275981140025448
96628,56,-0.0006217080924221248,-0.13178066939950925,-0.009056983892369764
98294,57,-0.000574635756280133,-0.02502892402204019,-0.0017598962630140423
99960,58,-0.002400811300056555,-0.22116305386379062,-0.08234175096548568
101626,59,-0.0005444603154859644,-0.08168891235095428,-0.015491306891695813
103292,60,-50.00386462844402,-106.03639579160316,-87.46388982727441
104958,61,-0.038242907622026236,-88.75170655329262,-48.714174861739096
106624,62,-0.12004351123486395,-0.21727260123998196,-0.17213813887901286
108290,63,-0.0009415589134282317,-0.14685927568363039,-0.019169705976238124
109956,64,-0.32490132947257716,-0.6475171703399836,-0.41066356388621306
111622,65,-0.308807447429414,-1.043868336050534,-0.564865035070153
113288,66,-0.0006728788008601022,-0.0013163835446314937,-0.0009400871113216207
114954,67,-0.000513508788400846,-0.42868809633371896,-0.05245101606950302
116620,68,-0.0006818343749282011,-0.352652627292528,-0.04533645233891102
118286,69,-0.0006678410446222724,-0.4493137112282869,-0.02637821621626674
119952,70,-0.0006699131779299197,-0.15401767095594465,-0.020316892453180087
121618,71,-0.0006616588739150916,-0.9950936358567147,-0.09482257074881976
123284,72,-0.0007007059766835837,-0.3790083883017495,-0.027769900189020813
124950,73,-0.0005717779578614765,-0.08481500375100724,-0.008843776556499375
126616,74,-0.0006578735381373567,-0.08513903828070034,-0.0057717006740356305
128282,75,-0.00066394195984425,-0.0013937452876734955,-0.0009052198232909098
129948,76,-0.0006223078535678176,-0.17222351668173685,-0.019577035752583568
131614,77,-0.0006978150184146866,-0.15982256412162135,-0.010923193038977786
133280,78,-0.0007475954334714148,-0.1279213862246518,-0.007804939215474444
134946,79,-0.0006278564494160977,-0.05890842482649613,-0.006313663638512721
