TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
99960,58,-0.0006366292586523688,-0.007580276053238699,-0.0012971363045872271
101626,59,-0.0008876130080915718,-0.024720329575818187,-0.006100486651281081
103292,60,-0.0007184322394952647,-0.008171849553136193,-0.00115632730212034
104958,61,-0.0005406475939980851,-0.017859204894347752,-0.0031129979120233736
106624,62,-0.000524840905149405,-0.022831055589773545,-0.0029785020257568863
108290,63,-0.0006030274992147584,-0.0010077605989697344,-0.0008054348325798043
109956,64,-0.0005848471991123312,-0.008514055552239039,-0.0012437368792583058
111622,65,-0.0006289339618516917,-0.017039001674240148,-0.0015043497608827768
113288,66,-0.0006119662261504601,-0.011089353271596054,-0.0012595411883988856
114954,67,-0.0006515924078811119,-0.014927878612667787,-0.006110341458595426
116620,68,-0.0005980625481809183,-0.011316620314292945,-0.0015931313034389036
118286,69,-0.0006358508761018517,-0.009338462884106478,-0.001749923596136214
119952,70,-0.0008805232067654127,-0.01459109683087031,-0.005872090719512752
121618,71,-0.000869962322686304,-0.021128167912601668,-0.008774382156141765
123284,72,-0.000651989184652131,-0.0011187368436348514,-0.0008703232906438278
124950,73,-0.0006937384792066167,-0.027019790292612544,-0.005721358887701836
126616,74,-0.000621228128112497,-0.02413517248372974,-0.001761682064458151
128282,75,-0.0005747219674449792,-0.01905791563778109,-0.0028578950414594913
129948,76,-0.0006721990806551674,-0.025127669290735007,-0.004785391510824996
131614,77,-0.0006770451560394393,-0.027892003027857347,-0.0019219623546465948
133280,78,-0.0005602097488103254,-0.023842736996004116,-0.0030912743244273714
134946,79,-0.0005430824040744193,-0.028872103483828543,-0.00506568761651816
