TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
106624,62,-0.000703752748128637,-0.1358351124427896,-0.013791715796117014
108290,63,-0.0006060611432859333,-1.330489550045078,-0.05715026655623559
109956,64,-0.000579954438871366,-0.08710477112684742,-0.015506915542047552
111622,65,-0.0006709439820575963,-61.00107607102785,-2.4452031755589565
113288,66,-0.238531740723276,-13.546178353683882,-0.9698220545385305
114954,67,-0.0007689310138310899,-0.22860417974305716,-0.06658922089412493
116620,68,-0.0005916209786034798,-0.16366433812923414,-0.007286100889452566
118286,69,-0.000818074564961152,-2.725072020798967,-0.13334890426868523
119952,70,-0.0006891479094135671,-5.789799090493634,-0.25394755733662666
121618,71,-0.0006584994246430522,-0.13787746608324133,-0.02646476395536853
123284,72,-0.0006479843052100149,-35.83442138899251,-1.7349784629477114
124950,73,-0.0006139380743174388,-40.039856927114826,-2.0170235198636464
126616,74,-0.000699332801447212,-40.504293438314576,-2.996432210470944
128282,75,-0.0007361931212959198,-20.821450699325407,-1.2842212229678691
129948,76,-1.1137485927946673,-94.01612645816944,-61.98886074491111
131614,77,-0.0007310979030907254,-90.41152709935284,-6.894389494056826
133280,78,-0.000811448539176232,-29.045075043368215,-2.290555460211171
134946,79,-0.0006347726339952795,-1.4311093881154633,-0.0611391002851623
